Profile_ID,Age,Employment_Status,Residential_Stability,Bank_Account_Tenure,Utility_Payment_History,Rent_Payment_History,Telecommunications_Payment_History,Educational_Background,Online_Shopping_Behavior,Social_Media_Footprint,Gig_Economy_Participation
420678,64,Student,10,15,Inconsistent,New,Inconsistent,Master's,Occasional,High,None
138458,27,Self-employed,14,17,New,New,Consistent,High School,None,High,Part-Time
461377,30,Self-employed,16,21,Inconsistent,Inconsistent,New,High School,Frequent,High,None
300578,19,Employed,20,7,New,Inconsistent,Consistent,PhD,None,Medium,Full-Time
64157,24,Self-employed,10,13,Consistent,New,Inconsistent,PhD,None,Low,Full-Time
507828,31,Self-employed,25,9,Inconsistent,Consistent,Consistent,Master's,Frequent,Medium,Full-Time
993437,58,Unemployed,6,13,Inconsistent,Inconsistent,Inconsistent,High School,Frequent,Medium,None
767541,45,Student,25,13,New,Inconsistent,New,PhD,Frequent,Medium,Part-Time
165503,19,Unemployed,3,17,New,Inconsistent,Consistent,Bachelor's,Frequent,Low,Part-Time
723639,51,Unemployed,25,0,Inconsistent,Consistent,Consistent,Master's,Occasional,High,Full-Time
334950,18,Self-employed,26,2,Inconsistent,New,Inconsistent,PhD,None,Medium,None
685308,64,Student,12,15,Consistent,New,New,PhD,Frequent,High,None
399053,27,Student,20,0,Inconsistent,Consistent,Consistent,Master's,None,Medium,Part-Time
830205,42,Student,19,13,Inconsistent,Consistent,Consistent,High School,Occasional,High,Part-Time
786486,53,Student,10,29,Consistent,New,New,High School,Occasional,High,Full-Time
199664,18,Self-employed,3,29,Inconsistent,Inconsistent,New,Bachelor's,None,Low,Part-Time
887226,34,Student,28,28,New,Inconsistent,Consistent,High School,None,High,Full-Time
250612,41,Employed,16,8,New,Consistent,Consistent,PhD,Occasional,Low,None
232212,51,Unemployed,1,11,Consistent,Inconsistent,Inconsistent,Master's,Frequent,Low,Full-Time
854803,27,Self-employed,8,26,Consistent,Consistent,Inconsistent,Master's,Occasional,Medium,Full-Time
802475,55,Unemployed,6,22,New,Consistent,New,Bachelor's,Occasional,Low,None
228174,52,Self-employed,11,22,New,Inconsistent,Consistent,Master's,Occasional,Medium,Full-Time
298216,32,Unemployed,9,0,Inconsistent,Consistent,Consistent,PhD,Frequent,High,Part-Time
71468,58,Employed,14,20,Consistent,Inconsistent,New,Bachelor's,Frequent,High,None
186000,52,Self-employed,23,29,Consistent,New,Inconsistent,Bachelor's,None,High,Full-Time
794461,32,Employed,25,2,New,Inconsistent,Inconsistent,Master's,Occasional,Low,Part-Time
785668,62,Unemployed,14,0,Consistent,Consistent,Inconsistent,High School,Occasional,Medium,Full-Time
380076,45,Self-employed,0,11,Consistent,Inconsistent,New,PhD,Occasional,Medium,None
419546,31,Employed,13,11,New,Inconsistent,Inconsistent,Bachelor's,Occasional,Low,Part-Time
410246,33,Student,26,24,Inconsistent,Inconsistent,Consistent,PhD,Occasional,High,None
679355,39,Unemployed,12,11,Consistent,Inconsistent,New,PhD,Occasional,Medium,Full-Time
748894,63,Student,27,27,Consistent,Consistent,Inconsistent,Bachelor's,Occasional,Medium,None
42676,45,Student,0,2,Inconsistent,New,New,High School,None,Medium,Part-Time
572655,46,Unemployed,12,0,Consistent,Consistent,Inconsistent,PhD,None,Medium,Part-Time
523314,50,Student,15,12,Consistent,Consistent,Consistent,High School,Occasional,Medium,None
627581,22,Self-employed,28,9,New,Inconsistent,New,PhD,Frequent,Medium,Full-Time
501499,51,Unemployed,22,9,New,Consistent,New,PhD,None,Medium,Part-Time
741096,18,Unemployed,10,1,Inconsistent,Inconsistent,Inconsistent,PhD,Frequent,Low,Part-Time
155982,56,Self-employed,27,17,Inconsistent,Consistent,Inconsistent,High School,None,Medium,None
979584,19,Employed,28,10,New,Consistent,Consistent,Bachelor's,Frequent,Medium,Part-Time
294724,19,Employed,10,0,Consistent,Consistent,Consistent,PhD,Occasional,Medium,Full-Time
568313,27,Unemployed,3,28,Inconsistent,Consistent,Consistent,Bachelor's,Frequent,Medium,Full-Time
729247,47,Self-employed,13,26,Inconsistent,Inconsistent,Consistent,Bachelor's,Occasional,High,None
682131,53,Unemployed,23,10,Inconsistent,Consistent,Inconsistent,PhD,Frequent,Low,Full-Time
281984,49,Unemployed,17,24,Inconsistent,Consistent,Inconsistent,High School,Occasional,Medium,None
712345,46,Unemployed,14,18,Consistent,New,Consistent,High School,Frequent,Medium,Part-Time
439393,48,Student,6,14,New,Inconsistent,New,High School,Occasional,Medium,None
277873,40,Employed,5,17,Consistent,Inconsistent,Consistent,Master's,None,High,Full-Time
47278,61,Employed,16,26,New,New,Consistent,PhD,Frequent,Medium,Full-Time
475429,42,Employed,29,21,Inconsistent,Consistent,Consistent,PhD,Frequent,Medium,None
456799,40,Employed,26,26,Consistent,Inconsistent,Inconsistent,Bachelor's,None,High,None
518643,20,Unemployed,23,17,Inconsistent,Consistent,Inconsistent,High School,None,Low,Part-Time
351515,18,Self-employed,15,25,Inconsistent,Inconsistent,New,PhD,Frequent,Low,None
183771,60,Employed,15,3,New,Consistent,Inconsistent,Bachelor's,Occasional,Medium,Part-Time
745586,21,Student,28,1,New,New,New,High School,Occasional,Medium,Part-Time
235010,36,Self-employed,4,5,Consistent,Consistent,Consistent,High School,None,Low,Full-Time
27141,40,Self-employed,10,9,New,New,Inconsistent,PhD,Occasional,Medium,None
885029,27,Unemployed,13,20,Consistent,Consistent,New,High School,None,High,None
881053,22,Student,14,26,Inconsistent,Consistent,Inconsistent,Bachelor's,Frequent,High,Full-Time
320885,63,Unemployed,9,10,Consistent,Consistent,New,Master's,Frequent,Low,Part-Time
911728,34,Unemployed,21,18,Consistent,Consistent,Consistent,Master's,Occasional,Low,Full-Time
582653,51,Student,23,14,New,Inconsistent,New,Master's,Occasional,High,None
909551,44,Student,16,4,Inconsistent,Consistent,New,Bachelor's,Occasional,Low,Full-Time
44249,39,Self-employed,9,2,New,Inconsistent,Inconsistent,PhD,None,Low,None
317987,58,Employed,25,17,New,New,Inconsistent,PhD,None,High,Part-Time
842031,27,Unemployed,1,2,New,Inconsistent,Consistent,High School,Occasional,Low,None
799966,53,Self-employed,29,23,Consistent,Consistent,New,PhD,Occasional,High,None
421167,26,Employed,3,8,Inconsistent,Consistent,New,High School,Frequent,Low,Part-Time
425462,35,Student,12,17,Inconsistent,Inconsistent,New,Bachelor's,Occasional,Low,Part-Time
402170,62,Student,24,1,Consistent,Inconsistent,Inconsistent,High School,Occasional,High,Part-Time
372575,55,Student,13,5,Consistent,Consistent,Inconsistent,Bachelor's,None,High,None
321737,23,Unemployed,14,6,Consistent,New,Inconsistent,High School,None,Low,Full-Time
185659,20,Self-employed,0,8,Inconsistent,Inconsistent,New,High School,Frequent,Medium,None
969197,48,Student,2,20,New,Inconsistent,Consistent,Bachelor's,None,Medium,None
248214,21,Student,17,19,Inconsistent,Consistent,Inconsistent,High School,Frequent,Low,Full-Time
696048,25,Student,5,28,Consistent,Consistent,Inconsistent,Bachelor's,None,Medium,Full-Time
442229,52,Unemployed,0,5,Inconsistent,Inconsistent,Consistent,PhD,Occasional,Low,None
633283,58,Unemployed,5,17,Inconsistent,Inconsistent,New,Bachelor's,Occasional,High,Full-Time
372951,21,Employed,27,11,New,Consistent,Inconsistent,High School,None,Low,None
923078,29,Employed,26,5,Consistent,Inconsistent,New,Bachelor's,Frequent,Low,Part-Time
271749,46,Self-employed,21,19,Consistent,Consistent,Consistent,PhD,None,Low,Part-Time
236215,55,Employed,1,26,New,Consistent,Inconsistent,PhD,Frequent,High,Part-Time
340849,44,Student,6,29,Inconsistent,Consistent,Consistent,High School,None,High,Part-Time
814223,22,Unemployed,7,3,New,Inconsistent,New,Bachelor's,Occasional,High,Part-Time
444047,48,Student,17,18,New,Inconsistent,Inconsistent,High School,None,High,Part-Time
138733,27,Employed,8,28,Inconsistent,New,Consistent,Master's,None,Medium,Full-Time
695121,48,Self-employed,29,23,Inconsistent,New,New,Master's,Frequent,Low,Full-Time
167370,41,Student,20,20,New,New,Consistent,Bachelor's,Occasional,Low,Full-Time
642288,64,Self-employed,14,26,Inconsistent,Consistent,New,PhD,Frequent,Low,None
749367,41,Unemployed,13,17,Consistent,Inconsistent,Consistent,Master's,None,Medium,Part-Time
101446,43,Student,25,21,Consistent,Inconsistent,Inconsistent,PhD,Occasional,High,Full-Time
589101,52,Self-employed,16,15,Inconsistent,Consistent,New,Master's,None,High,None
181893,43,Unemployed,22,14,Consistent,Consistent,Consistent,Master's,None,Medium,Part-Time
751606,55,Self-employed,13,3,Inconsistent,New,Consistent,Master's,None,Medium,None
768900,28,Student,7,4,Consistent,Inconsistent,New,High School,None,High,None
2017,56,Self-employed,4,28,Consistent,Inconsistent,Consistent,PhD,Occasional,Low,Part-Time
248486,35,Employed,28,9,Consistent,New,Consistent,Master's,Frequent,High,Part-Time
295321,43,Unemployed,18,25,New,Consistent,New,PhD,Frequent,High,Part-Time
809675,54,Unemployed,0,23,Inconsistent,Consistent,New,PhD,Frequent,High,Full-Time
22902,31,Employed,22,12,Consistent,New,Inconsistent,Master's,None,Low,Part-Time
517287,44,Employed,12,12,Consistent,Inconsistent,Inconsistent,Master's,Occasional,Medium,Part-Time
656930,23,Student,11,6,Inconsistent,Inconsistent,Consistent,High School,Frequent,High,None
68144,33,Unemployed,2,26,New,Consistent,Inconsistent,High School,Frequent,Medium,None
437091,46,Unemployed,7,2,Consistent,New,Consistent,Bachelor's,Frequent,Low,None
953536,23,Unemployed,26,29,New,New,Consistent,Master's,None,High,None
463455,30,Unemployed,18,28,New,Inconsistent,New,Bachelor's,Occasional,Low,Full-Time
505645,62,Student,13,2,Inconsistent,Inconsistent,New,Master's,Occasional,Low,None
319988,30,Self-employed,16,14,Inconsistent,Inconsistent,Consistent,High School,Frequent,Medium,None
302246,22,Self-employed,3,24,New,New,Inconsistent,Master's,Frequent,Low,None
802959,48,Employed,8,26,Inconsistent,Consistent,New,High School,Frequent,Low,Full-Time
450353,58,Self-employed,7,25,Inconsistent,Consistent,New,Bachelor's,Frequent,High,Full-Time
600670,64,Student,27,20,Consistent,New,New,PhD,None,Medium,None
895355,38,Self-employed,13,16,New,Inconsistent,Consistent,High School,None,Low,None
896800,29,Unemployed,14,29,Consistent,New,Consistent,High School,Occasional,Medium,None
654461,53,Employed,9,26,Inconsistent,New,Consistent,High School,Frequent,Medium,Full-Time
395231,44,Employed,28,20,Inconsistent,Consistent,New,High School,Occasional,Medium,Part-Time
425355,24,Employed,15,2,New,Consistent,Inconsistent,PhD,Occasional,Medium,Part-Time
218558,34,Unemployed,25,18,Consistent,Inconsistent,Consistent,Master's,Frequent,Low,None
53931,58,Student,22,7,Consistent,Inconsistent,Consistent,PhD,Frequent,Medium,Part-Time
310748,31,Self-employed,9,17,New,New,Consistent,High School,None,High,None
756980,36,Self-employed,14,21,New,New,Inconsistent,Master's,Occasional,Medium,Full-Time
758694,59,Student,17,8,Inconsistent,Consistent,New,High School,Occasional,High,Part-Time
86038,47,Student,25,15,Consistent,New,Inconsistent,High School,Occasional,Medium,None
655731,48,Student,4,20,Inconsistent,New,Consistent,High School,None,Low,Part-Time
748139,26,Unemployed,22,12,Consistent,Inconsistent,Inconsistent,High School,Occasional,High,None
607197,22,Student,0,4,Inconsistent,Inconsistent,Consistent,Bachelor's,None,Low,Part-Time
20071,38,Student,5,4,Consistent,New,New,Bachelor's,Occasional,High,Part-Time
860760,29,Self-employed,29,28,Inconsistent,New,Inconsistent,High School,None,Low,Full-Time
559257,46,Unemployed,18,8,Inconsistent,New,Consistent,High School,Occasional,Low,Part-Time
27377,19,Employed,19,12,Consistent,New,New,Bachelor's,None,Medium,Full-Time
288297,29,Student,26,10,Inconsistent,Inconsistent,Inconsistent,PhD,Frequent,High,None
9998,36,Student,13,20,Inconsistent,Inconsistent,Consistent,Bachelor's,Occasional,High,Part-Time
315967,47,Unemployed,26,11,Inconsistent,New,Consistent,PhD,Frequent,High,Full-Time
708689,18,Self-employed,7,28,Inconsistent,Inconsistent,Inconsistent,High School,Frequent,Medium,None
362623,50,Unemployed,12,26,Inconsistent,Consistent,Consistent,Bachelor's,None,Medium,None
754876,58,Employed,19,4,Inconsistent,Consistent,New,High School,None,High,Part-Time
786196,50,Self-employed,4,21,Consistent,Inconsistent,Consistent,Bachelor's,Frequent,Low,Part-Time
191869,44,Unemployed,23,11,Consistent,Inconsistent,New,Master's,Frequent,High,None
814482,38,Student,8,25,Inconsistent,Inconsistent,Consistent,Bachelor's,None,Low,None
579897,50,Unemployed,20,8,Consistent,New,New,PhD,None,Medium,None
293492,46,Employed,6,8,Consistent,Inconsistent,Inconsistent,Master's,None,High,Full-Time
805522,55,Self-employed,9,24,Consistent,Inconsistent,Inconsistent,Bachelor's,Frequent,Low,None
482098,40,Student,3,12,Consistent,Inconsistent,Consistent,Master's,Occasional,Low,None
342843,59,Student,3,0,New,Inconsistent,Inconsistent,Master's,Frequent,Low,Part-Time
14677,48,Employed,24,13,Inconsistent,New,Consistent,High School,None,High,Part-Time
953969,42,Student,19,6,Inconsistent,Inconsistent,Inconsistent,PhD,Occasional,High,None
857240,26,Self-employed,7,12,New,Consistent,Inconsistent,Master's,Frequent,Low,None
424651,45,Unemployed,16,10,Consistent,Consistent,Consistent,PhD,Occasional,Medium,Full-Time
811797,35,Self-employed,19,29,Inconsistent,Inconsistent,Inconsistent,Bachelor's,Occasional,High,Full-Time
67485,59,Employed,14,27,Inconsistent,Consistent,New,Bachelor's,Occasional,Medium,Part-Time
368040,30,Employed,10,29,Inconsistent,New,New,Bachelor's,Occasional,High,Part-Time
145919,36,Student,26,10,Consistent,Inconsistent,Inconsistent,Bachelor's,None,Medium,Full-Time
860732,59,Self-employed,25,17,Inconsistent,New,Consistent,Bachelor's,Frequent,Low,Part-Time
533870,50,Unemployed,11,13,Inconsistent,Inconsistent,Consistent,Bachelor's,Frequent,Medium,None
471293,49,Unemployed,20,12,Consistent,New,Inconsistent,High School,None,Low,Part-Time
96404,44,Student,29,24,Consistent,New,New,PhD,Frequent,High,Full-Time
299159,37,Unemployed,16,14,New,Inconsistent,New,Bachelor's,None,Low,Part-Time
332039,46,Unemployed,3,15,Consistent,Consistent,New,PhD,Frequent,Medium,Part-Time
952182,64,Student,27,9,Inconsistent,New,Inconsistent,Bachelor's,Occasional,Medium,Full-Time
139644,23,Employed,6,19,Consistent,Consistent,Consistent,High School,None,Low,Full-Time
700967,28,Self-employed,29,0,Consistent,Inconsistent,Inconsistent,Bachelor's,None,High,Full-Time
948314,60,Employed,19,18,Consistent,Inconsistent,Consistent,Master's,Frequent,Low,Full-Time
372715,28,Unemployed,7,6,Inconsistent,Inconsistent,Inconsistent,PhD,None,Medium,Full-Time
917632,47,Employed,5,0,New,New,Inconsistent,Bachelor's,None,High,Full-Time
567628,37,Employed,19,11,New,New,Consistent,Master's,Frequent,High,Full-Time
868823,52,Self-employed,2,7,Consistent,Inconsistent,New,High School,Frequent,High,None
495794,47,Student,22,12,Inconsistent,New,Consistent,PhD,Frequent,Low,Full-Time
428244,18,Unemployed,9,25,Inconsistent,New,Inconsistent,PhD,Frequent,High,Full-Time
699325,39,Employed,22,11,New,Consistent,New,Master's,Occasional,Low,Part-Time
974692,46,Self-employed,20,23,Consistent,Inconsistent,Inconsistent,Master's,None,Low,None
333016,26,Student,11,5,New,Consistent,New,High School,Frequent,Medium,None
334767,61,Unemployed,5,19,Consistent,Consistent,New,Master's,None,High,Full-Time
903460,42,Unemployed,16,15,Consistent,Consistent,Inconsistent,Master's,Occasional,High,Part-Time
556260,37,Employed,21,8,Consistent,New,New,High School,Occasional,Medium,Part-Time
945870,41,Unemployed,29,9,Inconsistent,Inconsistent,New,Bachelor's,Frequent,Medium,None
572374,50,Self-employed,20,24,Consistent,Consistent,New,High School,None,Medium,Part-Time
722377,19,Employed,7,15,Inconsistent,Consistent,Inconsistent,Master's,Occasional,Medium,Full-Time
382212,37,Employed,10,17,New,Inconsistent,New,Master's,None,Low,None
317922,19,Self-employed,14,9,Consistent,New,New,PhD,Occasional,Medium,None
483662,19,Student,11,6,Consistent,Inconsistent,New,PhD,Frequent,Medium,None
639991,64,Unemployed,18,0,Inconsistent,Inconsistent,New,PhD,Occasional,High,Part-Time
331431,58,Unemployed,4,29,New,Consistent,Consistent,PhD,Frequent,Low,Full-Time
139699,34,Employed,10,6,Inconsistent,New,New,Master's,Occasional,Low,None
332523,49,Student,8,7,Inconsistent,Inconsistent,Consistent,Bachelor's,None,Low,Part-Time
246806,38,Student,1,15,New,New,Inconsistent,High School,None,Low,None
917336,59,Employed,12,27,Inconsistent,New,Consistent,Master's,Occasional,High,Part-Time
262947,63,Unemployed,8,13,Inconsistent,Inconsistent,Inconsistent,PhD,Frequent,Low,Full-Time
290175,52,Student,3,23,New,Consistent,Consistent,PhD,Occasional,Medium,Part-Time
822130,50,Self-employed,17,15,New,Consistent,Inconsistent,PhD,Frequent,Low,None
141947,21,Self-employed,14,15,Consistent,Consistent,Inconsistent,Master's,Occasional,High,Part-Time
743168,23,Unemployed,26,26,New,Consistent,Consistent,Bachelor's,Frequent,High,None
24450,63,Student,1,15,Consistent,New,New,Master's,None,Medium,Full-Time
433474,63,Student,5,18,Consistent,New,Consistent,High School,Frequent,High,Part-Time
786285,54,Unemployed,12,7,Consistent,New,Consistent,High School,Occasional,Medium,Full-Time
418272,51,Student,18,25,New,Inconsistent,Inconsistent,PhD,Occasional,Medium,Full-Time
473033,36,Employed,6,16,Inconsistent,Inconsistent,Consistent,High School,Frequent,High,None
508910,52,Unemployed,9,4,New,Inconsistent,Inconsistent,PhD,None,Medium,Part-Time
821092,60,Student,7,3,New,New,New,Master's,None,High,Part-Time
973615,32,Student,27,23,New,Consistent,Consistent,Bachelor's,Frequent,Low,None
550423,57,Unemployed,26,22,Inconsistent,Consistent,New,Bachelor's,Frequent,High,Full-Time
310272,60,Self-employed,8,10,Inconsistent,Consistent,New,High School,Occasional,Medium,Full-Time
443529,41,Unemployed,5,29,Consistent,Consistent,Inconsistent,Bachelor's,Occasional,Medium,None
36925,39,Student,18,2,New,New,Consistent,PhD,None,Low,Part-Time
920619,58,Self-employed,15,13,Consistent,New,Inconsistent,High School,None,High,Part-Time
696088,39,Student,22,16,Inconsistent,Consistent,New,Bachelor's,Frequent,Medium,Part-Time
84402,20,Employed,27,27,New,Inconsistent,Consistent,PhD,Frequent,Medium,Full-Time
375092,30,Employed,23,5,New,New,Consistent,High School,Frequent,Low,Full-Time
745141,59,Student,4,6,Consistent,Inconsistent,Consistent,Bachelor's,None,Low,Full-Time
139093,36,Unemployed,11,27,New,Inconsistent,Consistent,PhD,Frequent,High,Full-Time
863145,57,Unemployed,16,12,Inconsistent,New,Consistent,Bachelor's,Frequent,Medium,Full-Time
186180,39,Employed,16,24,New,Consistent,Inconsistent,High School,None,High,Full-Time
573285,55,Unemployed,0,10,Inconsistent,Consistent,New,PhD,Frequent,High,None
919083,36,Student,7,13,New,Consistent,Inconsistent,PhD,Frequent,Low,Part-Time
811433,34,Student,13,7,Inconsistent,Consistent,New,PhD,Occasional,High,Full-Time
751408,22,Self-employed,11,9,Inconsistent,Inconsistent,Inconsistent,PhD,Occasional,Low,None
166860,58,Self-employed,7,6,Inconsistent,Consistent,New,Master's,None,Medium,Full-Time
234943,57,Student,1,29,Consistent,New,Inconsistent,Bachelor's,Occasional,High,None
157439,55,Unemployed,1,4,New,Inconsistent,Inconsistent,Bachelor's,Frequent,Medium,Part-Time
386622,34,Unemployed,19,26,Consistent,New,Inconsistent,Bachelor's,Occasional,Low,Full-Time
444376,62,Self-employed,29,11,New,Consistent,Inconsistent,High School,Frequent,Low,Part-Time
151348,44,Self-employed,0,29,New,New,Consistent,Bachelor's,None,High,Part-Time
511226,42,Unemployed,9,6,Consistent,New,New,Master's,Occasional,Medium,None
104206,58,Unemployed,29,11,Consistent,New,Consistent,Bachelor's,Frequent,High,None
372820,27,Employed,28,7,Consistent,Consistent,New,Bachelor's,None,High,None
238567,19,Student,18,25,Consistent,Consistent,Inconsistent,PhD,Frequent,Medium,None
220985,43,Employed,28,22,New,New,Inconsistent,Bachelor's,Occasional,Low,None
551202,38,Self-employed,28,7,Consistent,New,Inconsistent,High School,Occasional,High,Part-Time
428016,45,Employed,11,21,New,New,New,High School,None,Low,Part-Time
733516,45,Self-employed,8,22,Inconsistent,Inconsistent,Consistent,Bachelor's,Frequent,High,Part-Time
294468,24,Employed,13,4,Inconsistent,Inconsistent,Consistent,High School,None,Low,Full-Time
268903,46,Student,2,10,Inconsistent,Inconsistent,Consistent,PhD,None,High,None
232576,19,Student,2,6,Consistent,New,New,PhD,Frequent,Medium,Part-Time
161410,62,Employed,19,13,Consistent,Consistent,Consistent,Master's,Frequent,Low,Part-Time
928417,55,Student,18,20,New,Consistent,Consistent,Master's,None,Low,None
324055,19,Unemployed,23,1,Inconsistent,Inconsistent,Consistent,Bachelor's,Frequent,Low,Part-Time
745879,39,Employed,11,21,New,New,Consistent,Bachelor's,Frequent,High,None
560938,58,Unemployed,29,5,Inconsistent,Consistent,New,PhD,None,Medium,Full-Time
6967,34,Student,5,8,Inconsistent,New,Consistent,Bachelor's,None,Medium,Full-Time
663225,30,Unemployed,10,29,New,Inconsistent,Consistent,PhD,Occasional,Low,None
269925,49,Employed,1,1,New,Consistent,Inconsistent,Master's,Occasional,High,Part-Time
683798,33,Unemployed,19,2,Inconsistent,Inconsistent,Consistent,Master's,Frequent,High,None
472845,24,Student,28,25,Consistent,Inconsistent,New,Master's,Occasional,Low,None
256866,18,Employed,4,19,Consistent,Consistent,New,Master's,None,Medium,None
572356,61,Unemployed,6,13,Inconsistent,New,New,PhD,Frequent,Low,Full-Time
237252,46,Employed,19,27,Consistent,Inconsistent,New,Master's,Frequent,Low,Full-Time
952144,36,Employed,23,18,Inconsistent,New,Consistent,PhD,None,Medium,Full-Time
748743,50,Self-employed,1,4,New,Inconsistent,New,Bachelor's,Occasional,Low,Part-Time
950361,58,Self-employed,5,19,New,Inconsistent,Consistent,Bachelor's,Frequent,Medium,Full-Time
